NC_001806.2	0	61	152222	0.000400731
NC_001806.2	1	65	152222	0.000427008
NC_001806.2	2	37	152222	0.000243066
NC_001806.2	3	49	152222	0.000321898
NC_001806.2	4	6	152222	3.94161e-05
NC_001806.2	5	27	152222	0.000177373
NC_001806.2	6	35	152222	0.000229927
NC_001806.2	7	147	152222	0.000965695
NC_001806.2	8	351	152222	0.00230584
NC_001806.2	9	838	152222	0.00550512
NC_001806.2	10	1420	152222	0.00932848
NC_001806.2	11	2537	152222	0.0166664
NC_001806.2	12	4329	152222	0.0284387
NC_001806.2	13	5491	152222	0.0360723
NC_001806.2	14	7165	152222	0.0470694
NC_001806.2	15	8961	152222	0.058868
NC_001806.2	16	10138	152222	0.0666001
NC_001806.2	17	11716	152222	0.0769665
NC_001806.2	18	13163	152222	0.0864724
NC_001806.2	19	13596	152222	0.0893169
NC_001806.2	20	12855	152222	0.084449
NC_001806.2	21	11598	152222	0.0761914
NC_001806.2	22	10798	152222	0.0709359
NC_001806.2	23	8916	152222	0.0585723
NC_001806.2	24	7237	152222	0.0475424
NC_001806.2	25	5440	152222	0.0357373
NC_001806.2	26	4479	152222	0.0294241
NC_001806.2	27	3172	152222	0.020838
NC_001806.2	28	2444	152222	0.0160555
NC_001806.2	29	1674	152222	0.0109971
NC_001806.2	30	1236	152222	0.00811972
NC_001806.2	31	830	152222	0.00545256
NC_001806.2	32	567	152222	0.00372482
NC_001806.2	33	270	152222	0.00177373
NC_001806.2	34	184	152222	0.00120876
NC_001806.2	35	153	152222	0.00100511
NC_001806.2	36	107	152222	0.000702921
NC_001806.2	37	49	152222	0.000321898
NC_001806.2	38	45	152222	0.000295621
NC_001806.2	39	31	152222	0.00020365
NC_001806.2	40	5	152222	3.28468e-05
genome	0	61	152222	0.000400731
genome	1	65	152222	0.000427008
genome	2	37	152222	0.000243066
genome	3	49	152222	0.000321898
genome	4	6	152222	3.94161e-05
genome	5	27	152222	0.000177373
genome	6	35	152222	0.000229927
genome	7	147	152222	0.000965695
genome	8	351	152222	0.00230584
genome	9	838	152222	0.00550512
genome	10	1420	152222	0.00932848
genome	11	2537	152222	0.0166664
genome	12	4329	152222	0.0284387
genome	13	5491	152222	0.0360723
genome	14	7165	152222	0.0470694
genome	15	8961	152222	0.058868
genome	16	10138	152222	0.0666001
genome	17	11716	152222	0.0769665
genome	18	13163	152222	0.0864724
genome	19	13596	152222	0.0893169
genome	20	12855	152222	0.084449
genome	21	11598	152222	0.0761914
genome	22	10798	152222	0.0709359
genome	23	8916	152222	0.0585723
genome	24	7237	152222	0.0475424
genome	25	5440	152222	0.0357373
genome	26	4479	152222	0.0294241
genome	27	3172	152222	0.020838
genome	28	2444	152222	0.0160555
genome	29	1674	152222	0.0109971
genome	30	1236	152222	0.00811972
genome	31	830	152222	0.00545256
genome	32	567	152222	0.00372482
genome	33	270	152222	0.00177373
genome	34	184	152222	0.00120876
genome	35	153	152222	0.00100511
genome	36	107	152222	0.000702921
genome	37	49	152222	0.000321898
genome	38	45	152222	0.000295621
genome	39	31	152222	0.00020365
genome	40	5	152222	3.28468e-05
